,text,dominant_topics,dominant_topics_words
1938,"My wife and I popped in last night for the first time. Zocalo did not disappoint. We sat at the bar and enjoyed a couple of the cocktail recommendations made by the bartender â the Ancho Old Fashioned is one of my new favorites! Started off with the bacon and beer queso, which could have been a meal on its own, then ordered a few tacos. All were delicious but the Quesabirria was the standout for me. The beef was super tender and the cheese was nice and gooey. All in all a great find. Definitely coming back with friends!",[6],"nice, great, amazing, place, food"
1939,Carlos took care of us and he was fantastic.  The margs were so fresh and well prepared. The salsas and tacos were mouth watering . We tried four different ones and will be back for more. 20/10 would recommend.,[6],"nice, great, amazing, place, food"
1940,"Great tacos!  I tried the carnitas, carne, and quesobirria.  I couldnât tell you which one I liked best but I can tell you I want more of each.  Salsas are very good too.  Make this place part of your restaurant rotation.","[7, 13]","food, service, bad, tacos, order, city, mexico, center, beautiful, historic"
1941,Comote al pastor the vegan tacos are amazing.,[],
1942,"Impressive place, it contains a lot of history","[4, 10, 14]","parking, de, casa, dishes, good, pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
1943,"Constitution Square, also known as the ZÃ³calo, is an iconic location in the heart of Mexico City. With a rich history spanning from pre-Hispanic times to the present day, this plaza is a reflection of Mexican national identity.

*History and Significance*

- In pre-Hispanic times, the ZÃ³calo was part of the Templo Mayor, an important ceremonial center of the Aztecs.
- After the Spanish conquest, the Plaza Mayor was built, which became the political and religious center of the city.
- In 1813, it was officially named Plaza de la ConstituciÃ³n in honor of the Constitution of CÃ¡diz.
- The name ""ZÃ³calo"" comes from an unfinished project by Antonio LÃ³pez de Santa Anna to build a monument to Independence in the center of the square. Only the base, or zÃ³calo, was placed, and it remained in place for years.

*Buildings and Monuments*

- *Metropolitan Cathedral*: one of the city's most important churches, built on the ruins of the Aztec Templo Mayor.
- *National Palace*: seat of the federal executive branch, built on the site of Moctezuma's palace.
- *Templo Mayor*: an archaeological site and museum housing the remains of the Aztec civilization.
- *City Hall*: seat of the Mexico City government.

*Current Issues*

- The presence of street vendors in the plaza is a controversial issue, as some believe it affects the aesthetics and functionality of the public space.

In short, the Plaza de la ConstituciÃ³n is an iconic place that reflects Mexico's rich history and culture. Although it faces current challenges, it remains an important political, religious, and cultural center of the city.","[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
1944,Very nice and every month there is something recreational to learn about the country.,[5],"closed, interesting, noisy, horrible, favorite"
1945,"Mexico City's famous Zocalo was
overrun with stalls and a bandstand, filled with people from indigenous communities selling their handicrafts.
It was impossible to walk.","[6, 14]","nice, great, amazing, place, food, service, fast, delicious, food, good"
1946,The heart of my beautiful Mexico City,"[3, 14]","beautiful, cathedral, history, incredible, many, service, fast, delicious, food, good"
1947,Beautiful,[3],"beautiful, cathedral, history, incredible, many"
1948,SUPER RECOMMENDED,[12],"hotel, location, view, staff, great"
1949,It is relaxing to sit and see great wonders like the cathedral,"[10, 13]","pretty, negative, cdmx, delivery, positive, city, mexico, center, beautiful, historic"
1950,The 4T turned the beautiful Plaza de la ConstituciÃ³n into a La Merced-type market. It's a shame that this happens in the most beautiful part of our city.,"[3, 14]","beautiful, cathedral, history, incredible, many, service, fast, delicious, food, good"
1951,You can no longer pass through the square because it is used for demonstrations and you cannot walk there.,[7],"food, service, bad, tacos, order"
1952,"Terrible service.

We made a reservation to celebrate my wife's birthday and they did not honor it. We traveled with our families from other states and the only thing they did in a âmockingâ manner was to say that it is not their fault that it was captured badly on their part, they captured 3 instead of 13.

The manager, surnamed âLÃ³pezâ and a wall, serve to solve the same thing, nothing. Likewise the employee who made the reservation, Luis.

Sadly 13 of us will have to look for somewhere else.

Could it be that the reservation of 12 foreigners who were at the same time had something to do with the restaurant taking away our space?","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
1953,Very bad service from the staff and terrible food.,"[5, 8, 9]","closed, interesting, noisy, horrible, favorite, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
1954,"Staff is very professional and friendly, food is excellent, the view over the zocalo is unique.  We don't usually eat at fancy places, but this was worth it. Highly recommend.",[10],"pretty, negative, cdmx, delivery, positive"
1955,"I have to say that I was a little disappointed. We asked 3 months prior to the reservation for a certain table on the balcony and were told that the ones next to the Zocalo Plaza were reserved. How can that happen? I doubt they all reserved more than 3 months ahead. The Sandia Cocktail was such a let down. We looked at each other as we first thought we got just a glass of water...no decorations...not even a nice cocktail glass and the cocktail was not what we expected.
Servers are very friendly and food was good, but overall was expecting more...",[6],"nice, great, amazing, place, food"
1956,Food was great and atmosphere was top notch. Highly recommend. Chilaquiles were delicious and morning views unbeatable.,"[6, 11, 13]","nice, great, amazing, place, food, excellent, service, place, attention, station, city, mexico, center, beautiful, historic"
1957,"The views are immaculate! You get a balcony view while eating great food. Thereâs room to take pictures on the balcony which is a nice touch. They also provided a dessert for our anniversary, which was a great. Highly recommend getting the croissant with almonds, itâs the best I ever had!",[13],"city, mexico, center, beautiful, historic"
1958,GOOD PLACE AND VERY GOOD FOOD,"[2, 4, 5, 8]","family, experience, place, best, nice, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite, place, wonderful, visit, castle, great"
1959,"Very pretty setting especially when they opened the roof up. Great vegetarian dishes and I liked the sustainable details (cloth towels in the bathroom, for instance). Only flaw was that the desserts didn't quite measure up to the other courses, which were excellent",[6],"nice, great, amazing, place, food"
1960,"The degustation menu was awesome.  Particularly, the love potion!",[6],"nice, great, amazing, place, food"
1961,You canât say enough about the location.  Beautiful setting.,[3],"beautiful, cathedral, history, incredible, many"
1962,"Terrible service really long to wait and rude waiters.Margarita terrible not tasty,no flavour. Everywhere in Mexico where we was was nice everything service food and margarita especially. Extremely disappointed,highly will not recommend this place.Only one plus itâs nice view to the Plaza.",[6],"nice, great, amazing, place, food"
1963,Excellent view of the Constitution Square (ZÃ³calo),"[1, 14]","love, recommended, highly, expensive, fine, service, fast, delicious, food, good"
1964,"To comment and leave a review for potential customers. The attention is good. But I advise you to check the letter carefully since later when you ask for the account they will charge you any amount. In other words, they rob you with the prices",[7],"food, service, bad, tacos, order"
1965,"Very beautiful place, free spaces.","[3, 4, 5]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
1966,"Spacious, clean, and with plenty of options for tourist food or cheap coffee. But there are so many street vendors that it can be annoying.",[],
1967,Very busy and you can find a lot of gastronomy,"[5, 7, 14]","closed, interesting, noisy, horrible, favorite, food, service, bad, tacos, order, service, fast, delicious, food, good"
1968,Beautiful,[3],"beautiful, cathedral, history, incredible, many"
1969,"Every time I go I always love its different decorations and all its stalls with traditional food, the tlayudas with tasajo, with chorizo, delicious,",[11],"excellent, service, place, attention, station"
1970,Nice displays with explanation in English and Spanish,[],
1971,"Man, screw this place. As a Mexican, I am disappointed of how it is managed. From the top, with all the rain and mess in the city, I dont know why there is not a wardrobe service (at the moment), then the staff is not polite and condescending. So with that out of the way, let me talk about the most annoying part. The booking in advance system only. There is no line up. You may think, ok makes sense. No it doesnât it just allows scalpers to buy tickets and to sell them to 5 times the price through their websites cause they over buy the weekends and other days. I am the first advocate for buying and supporting local, but this is NOT! This system only benefits Booking Viator and other third parties. So, until they update that and allow for walk ins. Id say dont come here. You will have a better experience a few blocks from there at the Trotsky House Museum and a free tour with Daniel.","[0, 7]","good, beautiful, place, eat, service, food, service, bad, tacos, order"
1972,"It's worth visiting only if you know Frida's story. But if you do, it's a magical place.","[7, 10]","food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive"
1973,It is an excellent place to visit.,"[1, 4, 10]","love, recommended, highly, expensive, fine, parking, de, casa, dishes, good, pretty, negative, cdmx, delivery, positive"
1974,"An interesting museum, it opens a door to part of Frida K's life. I recommend visiting it.",[10],"pretty, negative, cdmx, delivery, positive"
1975,"Kahlo's style isn't really my cup of tea, but I have to admit that the museum has its charm, and the symphony of colors is striking and pleasing to the eye.","[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
1976,One word : Magical,[],
1977,"Definitely not to be missed.
The place is exceptional, still deeply inhabited by the artists' vibes, especially those of Frida!",[],
1978,A must-see in Mexico City. The house is beautiful and very interesting.,"[3, 5, 14]","beautiful, cathedral, history, incredible, many, closed, interesting, noisy, horrible, favorite, service, fast, delicious, food, good"
1979,"The Frida Kahlo Museum, known as the Blue House, in CoyoacÃ¡n, preserves the essence of the Mexican artist. Its blue walls house personal objects, sketches, dresses, and works that reveal her passion, pain, and creativity. Every corner conveys intimacy, turning the visit into an encounter with her life and art.","[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
1980,"Very pretty. It's not that long to walk through, but it has some very beautiful texts. ð

Admission is cheap, I think it's 50 for students, and 110 for Mexicans. I know foreigners pay more.","[5, 10]","closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive"
1981,"The clowns again.??
They get upset that if you give them ""a few"" coins, they even subtly offend you.
I think this picture of the city could be improved.",[7],"food, service, bad, tacos, order"
1982,"Very cool place to visit, very good places to eat","[2, 4, 5]","family, experience, place, best, nice, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
1983,Nice place and lots of things to see and enjoy.,"[4, 14]","parking, de, casa, dishes, good, service, fast, delicious, food, good"
1984,Beautiful,[3],"beautiful, cathedral, history, incredible, many"
1985,Nice clean and they were fixing up the beautiful and historic chair for the September 15th celebration. Visit it.,"[3, 6]","beautiful, cathedral, history, incredible, many, nice, great, amazing, place, food"
1986,Beautiful at night with the lighting,[3],"beautiful, cathedral, history, incredible, many"
1987,Beautiful place.,"[3, 4]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
1988,"There are many people who approach you to ask for a coin. And at night, there's very little lighting.","[5, 7]","closed, interesting, noisy, horrible, favorite, food, service, bad, tacos, order"
1989,"It's beautiful!!, but finding parking can take a long time!!!","[3, 10]","beautiful, cathedral, history, incredible, many, pretty, negative, cdmx, delivery, positive"
1990,A historic spot not to be missed.,[],
1991,Everything is perfect,[12],"hotel, location, view, staff, great"
1992,"A majestic, huge, and imposing place, very beautiful, I loved it.","[3, 4, 5, 10]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive"
1993,Very good,"[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
1994,It is a very pleasant place to walk and often search for items that one needs.,"[4, 10]","parking, de, casa, dishes, good, pretty, negative, cdmx, delivery, positive"
1995,Beautiful,[3],"beautiful, cathedral, history, incredible, many"
1996,Very beautiful,"[3, 5]","beautiful, cathedral, history, incredible, many, closed, interesting, noisy, horrible, favorite"
1997,"Beautiful place, but there were too many people at this time ð¥²","[3, 4]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
1998,Super entertaining,[12],"hotel, location, view, staff, great"
1999,"Plenty of activity, dancing and grape harvest, good place to walk in the afternoon, many places to eat","[2, 4]","family, experience, place, best, nice, parking, de, casa, dishes, good"
2000,Beautiful,[3],"beautiful, cathedral, history, incredible, many"
2001,"Nice place, very touristy","[4, 5]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
2002,"ZÃ³calo balcony restaurant at the ZÃ³calo central hotel.

Located on the 6th floor, it has breakfast included for guests and Ã  la carte, thank you very much JosÃ© and Alexandra so kind and efficient

Excellent American coffee and latte, breakfast has varieties of breads, eggs, vegetables, roast potatoes, bacon, among others

In the afternoon and evening it has a 3-course menu + dessert, which you can mix from different columns.
Starters 120g
Corn 120g
Main 200g
Dessert 120g

It was delicious and the service was excellent, we can't wait to return",[6],"nice, great, amazing, place, food"
2003,"Except to be amazed. The menu they have to share and taste is excellent, service is good, and the rooftop location is the best.","[0, 2, 7]","good, beautiful, place, eat, service, family, experience, place, best, nice, food, service, bad, tacos, order"
2004,The views are stunning. The food was good. Service was solid. It was a beautiful evening.,"[2, 3, 6]","family, experience, place, best, nice, beautiful, cathedral, history, incredible, many, nice, great, amazing, place, food"
2005,"It was previously one of my favorite places!
Currently after a remodel it is exaggeratedly expensive!
To the point that some foreign people (they spoke English) told me that the place had seemed exaggeratedly expensive.
I loved the Previous menu and the warmth of the service with all the flavor of Mexico","[0, 10, 14]","good, beautiful, place, eat, service, pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
2006,"Spectacular views, incredible service, very delicious food, perfect surroundings, you couldn't ask for anything more from the balcony, in a word, excellent!",[11],"excellent, service, place, attention, station"
2007,"Great restaurant over looking the Zocalo.  Food was great, specializes in a tasting menu so come hungry.  Definitely recommend reservations, we didnât have them but they had room as the bar.","[6, 13]","nice, great, amazing, place, food, city, mexico, center, beautiful, historic"
2008,Go to the bar and order a dark beer.,[],
2009,You need to stop by here. The food is absolutely amazing. Try the octopus tacos and steak.,[8],"place, wonderful, visit, castle, great"
2010,"Location! Location, but not only that. Even during thunderstorms, it's well protected thanks to transparent(!) shutters. The view is truly unique; who can afford a balcony railing with their own logo? That leaves the food. Every course is a delight. One downer: The long-stemmed arugula is difficult to tame with a fish knife, so pre-cutting in the kitchen is recommended.",[0],"good, beautiful, place, eat, service"
2011,Nice place. The food is good. The delicious bread. The beautiful view. And the service is good too. Very attentive.,"[0, 2, 3, 4, 5, 11]","good, beautiful, place, eat, service, family, experience, place, best, nice, beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite, excellent, service, place, attention, station"
2012,"The food and service were adequate, but you really come for the view. Absolutely gorgeous!","[8, 9]","place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
2013,"The Frida Kahlo Museum is one of those rare places that leaves you a little changed after visiting. It is not just a museum but the actual home where she lived, created, and endured her setbacks and triumphs. Walking through her rooms and seeing her studio with the brushes still at hand makes you feel as though she just stepped out for a moment. The experience is intimate and moving in a way that no traditional gallery can be because you are not only seeing her art, you are standing in the space where her life unfolded. The exhibits take you through her hardships and resilience, showing how every piece she created was born out of pain, strength, and an almost defiant creativity. The gardens are another highlight, lush and vibrant, a sanctuary that contrasts with the intensity of her story yet feels like a natural extension of her artistry. The tour is well done, guiding you through her world with just enough explanation to deepen the experience without overshadowing it. This is easily a five star cultural destination in Mexico City, worth every minute, and one of those places you carry with you long after leaving.","[7, 14]","food, service, bad, tacos, order, service, fast, delicious, food, good"
2014,Good place,"[2, 4]","family, experience, place, best, nice, parking, de, casa, dishes, good"
2015,Bucket List item checked off! Beautiful home and so many interesting pieces of her life.,[3],"beautiful, cathedral, history, incredible, many"
2016,Tickets must be purchased in advance.,[],
2017,"I came from far away. I asked them if they would let me in as an exception because I didn't have a paid online ticket for the next available day, and they were decisive in refusing. I think they should consider these cases where people come from far away and don't have another day to get in. I understand that the museum can't be overcrowded, but they also don't consider that many people don't come for various reasons. Zero empathy for tourism.",[7],"food, service, bad, tacos, order"
2018,very expensive and really bad management,[5],"closed, interesting, noisy, horrible, favorite"
2019,A great place to immerse yourself in the life of this artist!,"[4, 13, 14]","parking, de, casa, dishes, good, city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
2020,"It was cool, just expensive because I waited to buy my ticket until the day before so had to get it on GetYourGuide for 10 times the actual price if bought directly from the museum website. Make sure to book several weeks in advance as they sell out weeks early. Probably only takes 45 minutes to an hour maximum to see the entire museum.",[7],"food, service, bad, tacos, order"
2021,You have to reserve to avoid paying taxes,[7],"food, service, bad, tacos, order"
2022,They let in only foreigners and they send one who is Mexican far away.,[7],"food, service, bad, tacos, order"
2023,Beautiful and inspiring,[3],"beautiful, cathedral, history, incredible, many"
2024,"It's a beautiful place, perfect for going out with family or friends to have a good afternoon together ð","[2, 3, 4]","family, experience, place, best, nice, beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
2025,Visit McDonald's,[],
2026,A must-see if you visit Puebla. I recommend taking the tourist bus for a very informative tour of the place.,[],
2027,Good place to walk ð,"[2, 4]","family, experience, place, best, nice, parking, de, casa, dishes, good"
2028,Beautiful cathedral in the ZÃ³calo of Puebla!ð²ð½,"[3, 14]","beautiful, cathedral, history, incredible, many, service, fast, delicious, food, good"
2029,"Part of our cultural heritage, in the beautiful state of Puebla.","[3, 14]","beautiful, cathedral, history, incredible, many, service, fast, delicious, food, good"
2030,An excellent place to walk and be with family,"[1, 4]","love, recommended, highly, expensive, fine, parking, de, casa, dishes, good"
2031,"It's a starting point from which you can begin exploring Puebla's capital. It also houses the Cathedral, a very beautiful church.","[3, 10]","beautiful, cathedral, history, incredible, many, pretty, negative, cdmx, delivery, positive"
2032,Many places to eat and have a good day,"[2, 7]","family, experience, place, best, nice, food, service, bad, tacos, order"
2033,Beautiful place. The cathedral is worth visiting.,"[0, 3, 4]","good, beautiful, place, eat, service, beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
2034,VERY INTERESTING AND SAFE,[5],"closed, interesting, noisy, horrible, favorite"
2035,The ZÃ³calo of Oaxaca is very beautiful.,"[3, 5]","beautiful, cathedral, history, incredible, many, closed, interesting, noisy, horrible, favorite"
2036,Good place to go for a walk,"[2, 4, 7]","family, experience, place, best, nice, parking, de, casa, dishes, good, food, service, bad, tacos, order"
2037,Very nice place to visit.,"[4, 5]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
2038,"Fantastic place, full of history, culture and tradition, an impressive cultural mix.","[4, 14]","parking, de, casa, dishes, good, service, fast, delicious, food, good"
2039,The most beautiful,[3],"beautiful, cathedral, history, incredible, many"
2040,"The center is fantastic, and the part is quite clean and very busy. But it's nice as part of your tour...the fountains are working and it's very well lit.","[0, 5, 10]","good, beautiful, place, eat, service, closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive"
2041,"Very ugly, lots of street vendors and a sense of insecurity.","[5, 14]","closed, interesting, noisy, horrible, favorite, service, fast, delicious, food, good"
2042,Great experience visiting this place,"[4, 13]","parking, de, casa, dishes, good, city, mexico, center, beautiful, historic"
2043,"This time I was at a really cool event, where I enjoyed lots of food and treats.","[6, 8]","nice, great, amazing, place, food, place, wonderful, visit, castle, great"
2044,Incredible place to visit for both nationals and foreigners,[4],"parking, de, casa, dishes, good"
2045,"In case you need a cleaning, they'll give it to you right thereð",[7],"food, service, bad, tacos, order"
2046,No metro stations appear,[],
2047,Good,[2],"family, experience, place, best, nice"
2048,It is the main square of my city.,"[10, 14]","pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
2049,Quiet to spend the afternoon,[],
2050,Very interesting fair,[5],"closed, interesting, noisy, horrible, favorite"
2051,Very good museum since it tells you in the texts about her things,"[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
2052,"It's amazing to see the house and understand that it was real. Besides, Coyoacan is beautiful!","[3, 6, 10]","beautiful, cathedral, history, incredible, many, nice, great, amazing, place, food, pretty, negative, cdmx, delivery, positive"
2053,"MONEY PUMP!!! NO CONSIDERATION FOR CUSTOMERS! I put 1 because I can't put 0! At least 30 people come in every 15 minutes, the garden is crowded, which I could barely see from the front door. There were 3 of us, we arrived 45 minutes late because of traffic, we spent 2 hours in Uber and we paid 3 tickets online, that is 1000 pesos, we were refused entry because of our delay, not even a short 5 minute tour, which implies that the museum is at maximum capacity, because they refuse an additional entry for 3 people, 1 hour after the time of our ticket. So they fill to the maximum. Of course, no exchange and no refund! We were left on the sidewalk without remorse like dogs because there were 2 police officers at the entrance to the museum, surely to calm the disappointed and angry latecomers like us!!! Very disappointed and the exacerbated feeling that they are just trying to pick the pockets of tourists for a very small museum!!! GO YOUR WAY","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
2054,Just a little late getting in,[],
2055,"I have to tell you that, with all our desire to explore, we went to this place. We got off the subway and walked and walked in the direction people were telling us. We did so because someone had given us the route, and at the same time we were going to get to know the streets, places, and the direction.
We finally arrived and were so happy because there was little line. They had only told us that we had to arrive early and at the time we were supposed to wait in line for about three hours.
But to our surprise and sadness, they were already sold out, not just that day but for the next 20 days. ð¥¹
Tickets are purchased online, so we recommend getting them well in advance.
""The direction"" ð is very beautiful, it was worth the walk.
We took some photos outside and bought souvenirs in front.","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
2056,"Frida's work is indisputably excellent, but the place feels abandoned.","[1, 4]","love, recommended, highly, expensive, fine, parking, de, casa, dishes, good"
2057,Very interesting. Not to be missed.,[5],"closed, interesting, noisy, horrible, favorite"
2058,Great!,[13],"city, mexico, center, beautiful, historic"
2059,Nice museum. Too crowded even with the reservation system in place.,[4],"parking, de, casa, dishes, good"
2060,"A very nice museum that allows us to learn a little more about the painter's life.
Although it features some of her paintings, it's not an art gallery; rather, it focuses more on her life story.
Don't miss it on your visit to Mexico City!","[10, 14]","pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
2061,"Not very interesting, lots of people at once.",[5],"closed, interesting, noisy, horrible, favorite"
2062,"Everything was delicious, the service was fast, very friendly, I loved the place to go with the family.","[4, 6, 9, 11, 12]","parking, de, casa, dishes, good, nice, great, amazing, place, food, toos, house, super, serve, quickly, excellent, service, place, attention, station, hotel, location, view, staff, great"
2063,Love this place for a special occasion or when friends are in town. Iâve been here for afternoon drinks and most recently for dinner. For dinner itâs a pre fixe kind of meal where itâs a price for 4 course but you get to choose from many options. Plates weâre not too big so it wasnât overly filling. Great cocktails!,[],
2064,"Simply amazing, super pricey but location, location, location. Service, as one should, expect is outstanding and itâs an absolute experience that again, is definitely some serious pesos but worth jt.",[],
2065,People in front of the cathedral invited to this restaurant and they walked us to another restaurant. Be aware of this scam,"[7, 14]","food, service, bad, tacos, order, service, fast, delicious, food, good"
2066,expensive food,[8],"place, wonderful, visit, castle, great"
2067,"Beautiful location and amazing views of the cathedral and palace!
Service impeccable
There is a 13 course meal or a choice of several dishes for a set price to make a 4 course meal! So lots of choices and all delicious!
4 stars as there was only 1 vegetarian main course, but was delicious!","[6, 11]","nice, great, amazing, place, food, excellent, service, place, attention, station"
2068,"Trust me, just go. Food is delicious and great views of ZÃ³calo. Make reservations if you can.","[7, 11, 13]","food, service, bad, tacos, order, excellent, service, place, attention, station, city, mexico, center, beautiful, historic"
2069,Excellent place,"[1, 4]","love, recommended, highly, expensive, fine, parking, de, casa, dishes, good"
2070,"The best food, family atmosphere, excellent service and the best view of the zÃ³calo and national palace.","[0, 1, 8]","good, beautiful, place, eat, service, love, recommended, highly, expensive, fine, place, wonderful, visit, castle, great"
2071,"I recently had the pleasure of visiting Terazza Catedral ""El BalcÃ³n del ZÃ³calo"" in Mexico City, and it was an incredible experience. The rooftop provides breathtaking panoramic views of the city that are absolutely stunning. The waitstaff were exceptionally attentive and friendly, making me feel comfortable and welcomed without any sense of being rushed. I treated myself to a phenomenal dinner, which really enhanced the vibrant atmosphere during my visit. This experience was truly unforgettable, and recommend it to whoever likes ambience, live music and rooftop dining.","[6, 14]","nice, great, amazing, place, food, service, fast, delicious, food, good"
2072,"An extraordinary place, with a perfect view of the zÃ³calo and the cathedral, a place worth visiting on your visit to Mexico City, simply exceptional. Their delicious delicious bread","[4, 11, 14]","parking, de, casa, dishes, good, excellent, service, place, attention, station, service, fast, delicious, food, good"
2073,"One of my favorite places in the center of CDMX, the spectacular food, the good service, the best views of the main square, it is important to book.","[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
2074,"Nice view, drinks and Food. It is a little more expensive but worth it.","[8, 10]","place, wonderful, visit, castle, great, pretty, negative, cdmx, delivery, positive"
2075,"Very nice, comfortable, and reasonably priced. The people are very friendly, pleasant, and helpful. I highly recommend it.",[5],"closed, interesting, noisy, horrible, favorite"
2076,"We had reservations and seated immediately. The restaurant was full on a Saturday. Fabian was our waiter and he was wonderful.  We were seated at the balcony edge. It is a bit chilly and people take photos there to look over the plaza but we did not care
The food here was the best we have had and great value.
We started with wine all from Mexico. Choices limited however we were happy with our choices. Next we had the salad with bacon and spiced nuts. Tacos we had the fish and octopus. Fish was better. Next steak and fish. The steak was perfectly cooked and the mustard sauce was a perfect compliment.  The fish was very good but the steak was better.  Lastly we had a slight communication lapse where I got the almond ice cream and cream cone and my daughter got the sorbet.  She is gluten free and we thought we ordered two sorbets but it was fine   We just did nit share that item.  They also brought gluten free crackers instead of bread.  Very accommodating.
The views were beautiful at sunset the food was delicious the service great.  I would definitely recommend",[6],"nice, great, amazing, place, food"
2077,"I loved it, it's the third time I've come, I didn't feel like having breakfast since I was just looking for a coffee to digest and something sweet and I found this delight. The first time I ate a meat. Delicious. The third time it was a dinner. I really didn't like it but it changes every 3 months. Their menu and this time I got it right, so don't miss this delight. Excellent bread ð from Tejocote, delicious ð","[6, 10, 11]","nice, great, amazing, place, food, pretty, negative, cdmx, delivery, positive, excellent, service, place, attention, station"
2078,"Oh no, what can I say about my beautiful Puebla, which has given me everything and has also given me everything. It's certainly not a perfect cityâno city isâbut the magic of my city lies in the collision of antiquity with modernity. Quality of life and sustainable living, spectacular climate, and a historic center carved by Mexicans, hundreds of beautiful buildings that, like silent witnesses, have stood before the entire conquest and colonial era of our country. That energy is perceived, felt, and moves me. I am proudly from Puebla. There are undoubtedly shortcomings, but Puebla has a big heart and a mystical energy. Everyone is welcome. Walk around the main square and the surrounding area, eat a lot, take photos, visit the museums and wonders of the world, enjoy the weather, contemplate the volcanoes, enjoy the culture and avant-garde. Just return to your cities after your visit, because there are already so many of us, hehe. Enjoy!",[14],"service, fast, delicious, food, good"
2079,Nice place to spend an afternoon with the family or have a delicious coffee!,"[4, 11]","parking, de, casa, dishes, good, excellent, service, place, attention, station"
2080,"Very nice, visit it, eat cemitas and chiles en nogada","[4, 5, 10]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive"
2081,Puebla would visit it continuously,[10],"pretty, negative, cdmx, delivery, positive"
2082,Very interesting place,"[4, 5]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
2083,"Very nice place, too bad there are always political protests","[4, 5]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
2084,****,[],
2085,Beautiful place all around,"[3, 4]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
2086,"Oaxaca is beautiful. I recommend having breakfast at the El Mayordomo restaurant (sometimes the market is more expensive). I do recommend walking around the market to see and buy typical things, enjoy some ice cream downtown, and walk around for a while. Visit the Santo Domingo temple and observe the different art on display downtown.",[0],"good, beautiful, place, eat, service"
2087,Spend a quiet afternoon,[],
2088,"A place with history, there is also a lot to see, buy and visit","[4, 14]","parking, de, casa, dishes, good, service, fast, delicious, food, good"
2089,"Excellent, I recommend it.","[1, 10]","love, recommended, highly, expensive, fine, pretty, negative, cdmx, delivery, positive"
2090,I simply loved this place. One of my favorite things I did in Mexico.,[14],"service, fast, delicious, food, good"
2091,"We found the house right away, but the bad news is it was closed on Monday.
And you have to buy tickets online, as the tour is in high demand.",[],
2092,The admission is relatively expensive. Tickets must be reserved well in advance. The museum is particularly popular with tourists from the USA.,[0],"good, beautiful, place, eat, service"
2093,"Frida Kahlo was a world renowned Mexican artist. This museum is actually in the house where she lived until she passed away. The museum displays some of her works along with a history of her life. A lot of the rooms are left just the way they were while she was living there. She had polio in her childhood and then she had a tragic accident while riding a school bus when a tram crashed into her. She suffered multiple fractures in her hip and spine. She was bedridden for a long time while she recovered from her injuries. She was in constant pain but she had an indomitable spirit to live. She taught herself to paint, initially inspired by her husband and later on her own. She gained recognition worldwide. The pain she endured while she was alive comes through in some of her works. This is a must see museum in Mexico City. The tickets sell out quickly so buy them well in advance.",[6],"nice, great, amazing, place, food"
2094,"A beautiful tour.
It's the most expensive museum in Mexico City (others are around 100 pesos), but it's definitely worth it if you're a fan of Frida's life.
The museum doesn't feature many original works (only replicas), but it does feature excerpts from Frida's diaries and letters. It's an intimate experience of her life and the art of living.","[10, 14]","pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
